package,access_time,days_since_min_epoch,access_date
libsystemd0:amd64,2022-04-14 09:05:21,0 days 00:17:16.155370370,2022-04-14
systemd,2022-04-14 09:05:21,0 days 00:17:16.155370370,2022-04-14
systemd-timesyncd,2022-04-14 09:05:21,0 days 00:17:16.155370370,2022-04-14
libpam-systemd:amd64,2022-04-14 09:05:21,0 days 00:17:16.155370370,2022-04-14
liblz4-1:amd64,2022-04-14 09:05:21,0 days 00:17:16.155370370,2022-04-14
udev,2022-04-14 09:05:22,0 days 00:17:16.155381944,2022-04-14
libudev1:amd64,2022-04-14 09:05:23,0 days 00:17:16.155393518,2022-04-14
libpam0g:amd64,2022-04-14 09:05:24,0 days 00:17:16.155405092,2022-04-14
libpam-modules-bin,2022-04-14 09:05:24,0 days 00:17:16.155405092,2022-04-14
libpam-modules:amd64,2022-04-14 09:05:25,0 days 00:17:16.155416666,2022-04-14
libpam-runtime,2022-04-14 09:05:25,0 days 00:17:16.155416666,2022-04-14
libseccomp2:amd64,2022-04-14 09:05:26,0 days 00:17:16.155428240,2022-04-14
apt,2022-04-14 09:05:26,0 days 00:17:16.155428240,2022-04-14
systemd-sysv,2022-04-14 09:05:26,0 days 00:17:16.155428240,2022-04-14
libfreetype6:amd64,2022-04-14 09:05:28,0 days 00:17:16.155451388,2022-04-14
grub-pc,2022-04-14 09:05:28,0 days 00:17:16.155451388,2022-04-14
grub-pc-bin,2022-04-14 09:05:28,0 days 00:17:16.155451388,2022-04-14
libglib2.0-0:amd64,2022-04-14 09:05:28,0 days 00:17:16.155451388,2022-04-14
apt-utils,2022-04-14 09:05:28,0 days 00:17:16.155451388,2022-04-14
ca-certificates,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
apache2-utils,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
ubuntu-advantage-tools,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
vems-vpy,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
bind9-dnsutils,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
wireless-regdb,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
vems-snmp,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
tzdata,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
ubuntu-release-upgrader-core,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
bind9-host,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libapr1:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
distro-info-data,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libxml2:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libx11-data,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libx11-6:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libp11-kit0:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libldap-2.4-2:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libkrb5support0:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libkrb5-3:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libk5crypto3:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libgssapi-krb5-2:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
distro-info,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libgd3:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libgcrypt20:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libgnutls30:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
accountsservice,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
sudo,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libtiff5:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
python-apt-common,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
python3-apt,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
python3-distupgrade,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libaccountsservice0:amd64,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
python3-yaml,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
isc-dhcp-client,2022-04-14 09:05:34,0 days 00:17:16.155520833,2022-04-14
libldap-common,2022-04-14 09:05:43,0 days 00:17:16.155625,2022-04-14
libltdl7:amd64,2022-05-10 09:06:43,0 days 00:17:42.156319444,2022-05-10
libmagic-mgc,2023-11-15 10:42:59,0 days 00:26:56.223171296,2023-11-15
libgcc-s1:amd64,2023-12-03 20:39:01,0 days 00:27:14.637083333,2023-12-03
libcom-err2:amd64,2023-12-04 05:00:22,0 days 00:27:14.985243055,2023-12-04
pci.ids,2023-12-04 05:00:22,0 days 00:27:14.985243055,2023-12-04
libext2fs2:amd64,2023-12-04 05:00:22,0 days 00:27:14.985243055,2023-12-04
libquadmath0:amd64,2023-12-04 05:00:23,0 days 00:27:14.985254629,2023-12-04
